CODICE ARTICOLO   ;DESCRIZIONE ARTICOLO   ;PREZZO          
;;
     0009529   ;FORMAGGIO PRATOMAGNO VECCHIO                                            ;12,57                  
     0136902   ;FORMAGGIO STELVIO DOP MILA                                              ;13,90                  
     0161292   ;MILA FORMAGGIO DOLOMITENKONIG                                           ;12,90                  
     0066823   ;LEVONI SCHIACCIATA PICCANTE                                             ;23,90                  
     0007031   ;PROSCIUTTO CRUDO DI MONTE                                               ;15,90                  
     0270179   ;SAL.MERANESE LIONER                                                     ;8,90                   
     0007142   ;SENFTER SPECK A/A S.C. IGP                                              ;18,73                  
     0443023   ;SPECK COTTO SENZA COTENNA                                               ;16,50                  
     0359849   ;T/A CORTESI SALSA CIPOLLE GR.40                                         ;1,37                   
     0350161   ;T/A CORTESI SALSA DI ARANCE GR.50                                       ;1,34                   
     0287895   ;T/A CORTESI SALSA FICHI GR.50                                           ;1,34                   
     0287894   ;T/A CORTESI SALSA PERE GR.50                                            ;1,34                   
     0423776   ;T/A FICACCI OLIVE SICILIANE G150                                        ;2,00                   
     0534484   ;ALPRO NON E' LATTE CLASSICO LT.1                                        ;2,58                   
     0257073   ;LATTE TN LATTE UHT INT TETRA L1                                         ;1,42                   
     0454008   ;MILA LATTE S/LATT UHT 500ML                                             ;0,99                   
     0204617   ;PARMALAT ZYMIL UHT PS PET L1                                            ;2,02                   
     0353186   ;BUITONI SFOGLIA RETTANG. G230                                           ;1,86                   
     0010753   ;BURRO TRENTINO G500                                                     ;4,11                   
     0451224   ;LATTE TN BURRO G200                                                     ;2,24                   
     0086098   ;MEGGLE BURRO ERBE X5 G100                                               ;2,17                   
     0138948   ;MILA BURRO ALTO ADIGE G250                                              ;2.35
     0535543   ;MERANO YOG. L.FIENO NOCCIOLA GRAN. G150                                 ;0,75                   
     0535542   ;MERANO YOG. LATTE FIENO CARAM.SAL. G150                                 ;0,75                   
     0507601   ;MERANO YOG.LATTE FIENO CAFFE' 150G                                      ;0,75                   
     0507605   ;MERANO YOG.LATTE FIENO FR.BOS.150G                                      ;0,75                   
     0507598   ;MERANO YOG.LATTE FIENO FRAGOLA 150G                                     ;0,75                   
     0507608   ;MERANO YOG.LATTE FIENO MANGO G150                                       ;0,75                   
     0527919   ;FAGE YOG.GRECO TOTAL 0% G150                                            ;1,11                   
     0527918   ;FAGE YOGURT GRECO 2% G150                                               ;1,11                   
     0527920   ;FAGE YOGURT GRECO TOTAL 5% G150                                         ;1,11                   
     0552767   ;LATTE TRENTO KEFIR BIANCO G500                                          ;1,38                   
     0346623   ;KINDER PINGUI' COCCO X 4 120                                            ;2,10                   
     0346622   ;KINDER PINGUI' X 4 T120                                                 ;2,10                   
     0549787   ;S/G CAMEO MUU MUU CIOCCOLATO G115 X4                                    ;2,39                   
     0549788   ;S/G CAMEO MUU MUU VANIGLIA G115 X4                                      ;2,39                   
     0371076   ;S/G VALSOIA YOSOI BIANCO G125X2                                         ;1,34                   
     0518232   ;VALSOIA YOSOI VANIGLIA G125X2                                           ;1,34                   
